date;value;volume
29.12.2021;8,13;212,71
28.12.2021;8,29;248,43
27.12.2021;8,15;196
24.12.2021;8,01;242,68
23.12.2021;7,77;229,35
22.12.2021;8,08;269,7
21.12.2021;7,79;295,9
20.12.2021;8,07;399,65
17.12.2021;7,5;382,4
16.12.2021;7,35;268
15.12.2021;7,36;317,1
14.12.2021;7,38;370,9
13.12.2021;7,4;438,7
10.12.2021;7,45;225,3
09.12.2021;7,49;192,8
08.12.2021;7,44;115,5
07.12.2021;7,24;94,75
06.12.2021;7,21;136,35
03.12.2021;7,16;162,75
02.12.2021;6,93;156,05
01.12.2021;6,93;83,91
30.11.2021;7,27;177,8
29.11.2021;7,36;189,24
26.11.2021;7,33;127,04
25.11.2021;7,49;176,3
24.11.2021;7,27;223,3
23.11.2021;7,3;115,1
22.11.2021;7,3;180,35
19.11.2021;7,39;194,3
18.11.2021;7,48;161,1
17.11.2021;7,44;138,7
16.11.2021;7,37;118,5
15.11.2021;7,32;88,2
12.11.2021;7,26;138,8
11.11.2021;7,32;103,44
10.11.2021;7,29;139,35
09.11.2021;7,5;222,2
08.11.2021;7,4;233,3
03.11.2021;7,09;146,2
02.11.2021;6,86;169,2
01.11.2021;7,11;221,1
29.10.2021;7,35;251,45
28.10.2021;7,33;232,65
27.10.2021;7,28;219,31
26.10.2021;7,3;183,44
25.10.2021;7,38;156,6
22.10.2021;7;107,05
21.10.2021;6,82;75,35
20.10.2021;6,86;113,28
19.10.2021;6,85;77,9
18.10.2021;6,9;126,65
15.10.2021;6,79;120,5
14.10.2021;6,78;79,4
13.10.2021;6,67;200,45
12.10.2021;6,28;100,43
11.10.2021;6,54;61,4
08.10.2021;6,33;82,3
07.10.2021;6,39;111,2
06.10.2021;6,41;211,95
05.10.2021;6,45;245,71
04.10.2021;6,63;265,6
01.10.2021;6,64;188,65
30.09.2021;6,78;64,5
29.09.2021;6,68;150,7
28.09.2021;6,75;140,5
27.09.2021;6,69;165,01
24.09.2021;6,56;158,7
23.09.2021;6,51;177,11
22.09.2021;6,59;217,6
21.09.2021;6,65;165,7
20.09.2021;6,75;191,6
17.09.2021;6,69;172,8
16.09.2021;6,7;218,35
15.09.2021;6,65;160,1
14.09.2021;6,67;257,95
13.09.2021;6,63;199,85
10.09.2021;6,69;158,56
09.09.2021;6,51;143,85
08.09.2021;6,44;132,35
07.09.2021;6,34;103,1
06.09.2021;6,27;127,6
03.09.2021;6,32;94,3
02.09.2021;6,05;219,2
01.09.2021;6,32;155,64
31.08.2021;6,48;182,4
30.08.2021;6,51;138,75
27.08.2021;6,47;105,6
26.08.2021;6,48;92,6
25.08.2021;6,51;127,75
24.08.2021;6,45;181,85
23.08.2021;6,4;139,35
20.08.2021;6,46;124,45
19.08.2021;6,46;194,75
18.08.2021;6,48;106,07
17.08.2021;6,7;216,65
16.08.2021;6,5;62,3
13.08.2021;6,39;51,2
12.08.2021;6,32;78,25
11.08.2021;6,24;89,6
10.08.2021;6,25;123,05
09.08.2021;6,22;94,9
06.08.2021;6,02;146,15
05.08.2021;5,75;190,43
04.08.2021;5,86;98,6
03.08.2021;5,61;59,2
02.08.2021;6,19;196,7
30.07.2021;6,76;173,1
29.07.2021;7,19;197
28.07.2021;6,61;188,35
27.07.2021;6,24;334,49
26.07.2021;6,25;189,1
23.07.2021;5,75;544,68
22.07.2021;5,7;511,1
21.07.2021;5,76;377,9
20.07.2021;5,85;212,2
19.07.2021;5,78;237,95
16.07.2021;5,71;200,6
15.07.2021;5,6;208
14.07.2021;5,6;165,5
13.07.2021;5,55;55,6
12.07.2021;5,5;60,2
09.07.2021;5,48;65,6
08.07.2021;5,41;62,4
07.07.2021;5,36;75,6
06.07.2021;5,27;87,1
05.07.2021;5,31;93,7
02.07.2021;5,11;107,9
01.07.2021;5,06;227,88
30.06.2021;5,28;65,4
29.06.2021;5,42;162,39
28.06.2021;5,46;269,1
25.06.2021;5,43;225,05
24.06.2021;5,1;232,97
23.06.2021;5,09;204,55
22.06.2021;5,18;166,3
21.06.2021;5,17;163,8
18.06.2021;5,34;188,1
17.06.2021;5,35;149,55
16.06.2021;5,36;179,95
15.06.2021;5,36;200,22
11.06.2021;5,2;108,8
10.06.2021;5,04;124,25
09.06.2021;5;177,05
08.06.2021;4,73;75,4
07.06.2021;4,38;140,35
04.06.2021;4,75;56,5
03.06.2021;4,74;84
02.06.2021;4,8;58,9
01.06.2021;4,77;82,05
31.05.2021;4,85;118,8
28.05.2021;4,97;121,05
27.05.2021;4,93;141,2
26.05.2021;4,9;155,1
25.05.2021;4,89;160,35
24.05.2021;4,77;151,4
21.05.2021;4,82;193,6
20.05.2021;4,81;233,2
19.05.2021;4,91;150,7
18.05.2021;4,97; 
17.05.2021;4,97; 
14.05.2021;4,97; 
13.05.2021;4,84;107,9
12.05.2021;4,75;75,35
11.05.2021;4,27;95,95
07.05.2021;4,23;55,35
06.05.2021;4,3;57,85
05.05.2021;4,53;113,3
04.05.2021;4,71;210,09
30.04.2021;4,84;153,6
29.04.2021;4,88;88
28.04.2021;4,85;165,6
27.04.2021;4,6;261,7
26.04.2021;4,81;325,1
23.04.2021;4,4;248
22.04.2021;4,36;148,4
21.04.2021;4,35;166,9
20.04.2021;4,37;112,1
19.04.2021;4,27;111,1
16.04.2021;4,45;236,4
15.04.2021;4,47;205,4
14.04.2021;4,46;227
13.04.2021;4,52;76,1
12.04.2021;4,46;41,8
09.04.2021;4,43;62,3
08.04.2021;4,45;67,05
07.04.2021;4,37;61,45
06.04.2021;4,12;51,15
05.04.2021;4,25;162,55
02.04.2021;4,38;141,1
01.04.2021;4,45;80,65
31.03.2021;4,45;91,55
30.03.2021;4,48;123,35
29.03.2021;4,45;89,45
26.03.2021;4,31;118,5
25.03.2021;4,41;89,85
24.03.2021;4,28;115,72
23.03.2021;4,22;106,6
22.03.2021;4,24;150,75
19.03.2021;4,14;126,5
18.03.2021;4,11;117,4
17.03.2021;4,12;97,45
16.03.2021;4,13;75,55
15.03.2021;4,13;71,85
12.03.2021;4,14;67,95
11.03.2021;4,11;42,65
10.03.2021;4,09;63,45
09.03.2021;4,35;92,2
05.03.2021;4,04;123,1
04.03.2021;4,07;104,95
03.03.2021;4,06;146,05
02.03.2021;4,01;161,4
01.03.2021;4,06;106,45
26.02.2021;4,18;137,25
25.02.2021;4,16;135,15
24.02.2021;4,06;137,23
20.02.2021;4,06;104,45
19.02.2021;4,02;75,25
18.02.2021;4,05;61,1
17.02.2021;4;72,03
16.02.2021;3,91;153,2
15.02.2021;3,94;134,5
12.02.2021;4;92,45
11.02.2021;4,02;90,85
10.02.2021;4,09;58,2
09.02.2021;4,16;83,4
08.02.2021;3,28;49,6
05.02.2021;3,73;113,15
04.02.2021;4;68,5
03.02.2021;4;85,65
02.02.2021;4,1;138,75
01.02.2021;4,23;161,9
29.01.2021;4,43;167,85
28.01.2021;4,27;114,43
27.01.2021;4,25;155,4
26.01.2021;4,35;200,9
25.01.2021;4,27;165,15
22.01.2021;4,27;194,95
21.01.2021;4,35;170,4
20.01.2021;4,31;161
19.01.2021;4,3;94,9
18.01.2021;4,3;196,3
15.01.2021;4,25;118,25
14.01.2021;4,24;153,4
13.01.2021;4,23;146,45
12.01.2021;4,18;320,5
11.01.2021;4,27;313,8
